"Code","Description","Name","Format",
"auction","Auction Store","Auction & Auction Store","Sales",
"auction","Auction Store","Auction & Auction Store Check-In","Sales",
"auction","Auction Store","Auction and Auction Store Check-In","Sales",
"auction","Auction Store","Auction Begins","Sales",
"auction","Auction Store","Auction Check-In","Sales",
"auction","Auction Store","Auction Store","Sales",
"auction","Auction Store","Auction/Auction Store","Sales",
"auction","Auction Store","Auction Store Opens","Sales",
"auction","Auction Store","BPA Auction Store","Sales",
"auction","Auction Store","BPA Games Auction","Sales",
"auction","Auction Store","No Shipping Math Trade","Sales",
"auction","Auction Store","WBC Auction","Sales",
"demo","Demonstration","Destination Neptune",,
"demo","Demonstration","Empires: Age of Discovery",,
"demo","Demonstration","Advanced Jutland",,
"demo","Demonstration","Bloody April",,
"demo","Demonstration","Leningrad '41",,
"demo","Demonstration","Mega Civilization",,
"demo","Demonstration","Memoir '44:  Cape Torokina",,
"demo","Demonstration","Memoir '44:  Into the Valley of Death",,
"demo","Demonstration","Memoir '44:  Khalkin Gol",,
"demo","Demonstration","Memoir '44:  Tetsu No Ame",,
"demo","Demonstration","Memoir '44:  Tigers in the Snow",,
"demo","Demonstration","Moscow '41",,
"demo","Demonstration","Pacific Fury",,
"demo","Demonstration","Quartermaster General",,
"demo","Demonstration","Up Front",,
"demo","Demonstration","War Room",,
"demo","Demonstration","Wooden Ships Fleet Action",,
"demo","Demonstration","Demos",,
"gaming","Open Gaming","Library Closed",,
"gaming","Open Gaming","Library Closed-ALL GAMES DUE",,
"gaming","Open Gaming","Open Gaming",,
"gaming","Open Gaming","Open Gaming Library Opens",,
"gaming","Open Gaming","Open Gaming & Library",,
"gaming","Open Gaming","Open Gaming & Library Open",,
"gaming","Open Gaming","Open Gaming Only until 5 PM",,
"gaming","Open Gaming","Game Library Available",,
"junior","Junior Events",,"Juniors",
"junior","Junior Events",,"Junior",
"meeting","Meetings",,"Meeting",
"meeting","Meetings",,"Meeeting",
"panels","Panels",,"Panel",
"preview","Preview",,"Preview",
"registration","Registration","Registration",,
"registration","Registration","Registration - turn in all Event paperwork",,
"registration","Registration","Registration - turn in all Event paperwork & pick up prizes ASAP",,
"registration","Registration","Registration & Prizes",,
"registration","Registration","Registration Closes",,
"sampler","Sampler","Sampler","Sampler",
"sampler","Sampler Showcase","Sampler Showcase","Sampler",
"seminar","Seminars",,"Seminar",
"shuttle","Shuttle",,"Shuttle from Pittsburgh Airport ($50 per person)",
"shuttle","Shuttle",,"Shuttle to Pittsburgh Airport ($50 per person)",
"vendors","Vendors","Vendors Area Closes",,
"vendors","Vendors","Vendors Area Opens",,
"vendors","Vendors","Vendors Room Open",,
"vendors","Vendors","Vendor Room",,
"witswagers","Wits & Wagers","Wits & Wagers Game Show",,"Wits & Wagers 1/1"



